VisitID,PropertyID,ClientID,AgentID,VisitDate
154,314,642,28,6/23/2024
155,201,1267,92,11/21/2024
156,148,1424,20,4/25/2025
157,517,177,14,9/19/2024
158,319,1239,75,2/16/2025
159,319,680,16,2/12/2025
160,409,556,17,4/12/2025
161,447,513,34,8/5/2024
162,681,656,16,1/7/2025
163,517,797,95,12/5/2024
164,414,205,80,12/8/2024
165,633,217,87,4/20/2025
166,510,936,34,1/16/2025
167,61,918,87,6/11/2024
168,636,942,21,1/8/2025
169,680,457,13,1/17/2025
170,939,518,9,10/29/2024
171,275,105,93,4/22/2025
172,286,1081,35,3/30/2025
173,62,411,37,6/10/2024
174,34,798,29,11/28/2024
175,491,494,76,12/31/2024
176,2,404,92,12/21/2024
177,716,594,82,12/5/2024
178,799,300,18,10/8/2024
179,402,530,63,9/25/2024
180,508,902,38,4/13/2025
181,192,1271,5,5/30/2024
182,215,792,32,1/17/2025
183,402,955,53,12/21/2024
184,791,958,30,6/26/2024
185,467,267,15,4/25/2025
186,853,1389,17,11/5/2024
187,121,138,83,9/28/2024
188,319,753,48,1/13/2025
189,731,428,56,6/26/2024
190,482,1231,56,8/11/2024
191,905,704,15,10/18/2024
192,574,1294,3,11/28/2024
193,441,874,50,10/13/2024
194,766,1278,15,11/19/2024
195,815,458,69,3/6/2025
196,423,1192,28,6/14/2024
197,359,41,69,10/12/2024
198,287,1437,79,5/11/2025
199,447,1003,48,3/2/2025
200,413,253,93,7/1/2024
201,770,361,94,3/12/2025
202,719,826,33,8/3/2024
203,499,1395,7,9/15/2024
204,795,558,97,6/6/2024
205,112,226,5,6/5/2024
206,150,1355,97,6/4/2024
207,614,156,75,6/20/2024
208,846,612,45,10/4/2024
209,212,1035,26,9/6/2024
210,45,788,99,3/23/2025
211,269,409,28,12/18/2024
212,193,171,49,8/6/2024
213,391,1187,78,10/7/2024
214,406,1084,48,10/27/2024
215,21,696,31,3/23/2025
216,211,260,82,8/7/2024
217,51,122,72,11/21/2024
218,376,474,69,8/23/2024
219,171,649,56,9/14/2024
220,369,749,62,1/4/2025
221,993,441,23,6/4/2024
222,194,917,76,6/9/2024
223,559,955,36,9/6/2024
224,496,1052,32,4/5/2025
225,431,649,83,4/25/2025
226,379,1359,77,3/19/2025
227,263,513,17,4/14/2025
228,785,51,39,9/6/2024
229,396,1131,60,1/21/2025
230,113,1119,99,8/30/2024
231,63,200,37,3/11/2025
232,621,1160,68,12/16/2024
233,224,1456,99,7/19/2024
234,961,234,50,5/27/2024
235,552,534,20,1/5/2025
236,254,541,83,11/13/2024
237,604,1392,92,3/31/2025
238,327,1363,85,6/12/2024
239,816,529,72,3/13/2025
240,544,896,66,12/26/2024
241,94,430,82,3/3/2025
242,756,651,26,1/17/2025
243,858,201,78,9/25/2024
244,310,501,24,7/8/2024
245,317,1030,12,7/26/2024
246,240,960,50,2/20/2025
247,648,681,33,5/2/2025
248,829,72,77,10/18/2024
249,60,901,73,6/30/2024
250,414,258,99,12/10/2024
251,915,737,59,5/6/2025
252,98,871,48,10/31/2024
253,962,1316,72,12/31/2024
254,441,981,87,3/9/2025
255,1000,1155,64,7/16/2024
256,319,1108,11,6/22/2024
257,713,873,59,10/10/2024
258,473,836,63,2/18/2025
259,895,1301,92,4/8/2025
260,563,856,58,11/11/2024
261,411,1285,55,10/13/2024
262,697,1212,23,12/28/2024
263,954,1198,67,10/6/2024
264,161,990,2,10/8/2024
265,29,845,16,5/28/2024
266,127,62,21,2/23/2025
267,150,550,69,1/18/2025
268,681,926,66,6/13/2024
269,32,204,33,8/30/2024
270,216,1000,49,12/4/2024
271,369,597,4,11/1/2024
272,137,626,30,3/31/2025
273,201,1228,61,5/15/2024
274,179,607,42,11/24/2024
275,543,906,60,8/6/2024
276,321,797,10,4/1/2025
277,152,902,34,1/17/2025
278,211,449,85,2/18/2025
279,121,1352,55,9/29/2024
280,424,6,99,2/24/2025
281,301,1157,46,5/7/2025
282,922,860,43,4/16/2025
283,255,330,27,8/7/2024
284,780,600,86,12/3/2024
285,331,1053,10,1/15/2025
286,713,874,94,1/19/2025
287,150,690,44,3/26/2025
288,632,1181,28,9/22/2024
289,897,894,19,8/3/2024
290,517,386,78,9/7/2024
291,456,1388,60,7/28/2024
292,190,165,2,7/12/2024
293,602,1211,24,11/26/2024
294,550,1047,68,4/6/2025
295,705,341,46,12/12/2024
296,386,275,33,10/8/2024
297,33,1298,29,2/2/2025
298,235,1369,33,10/18/2024
299,22,661,6,12/27/2024
300,391,437,10,3/7/2025
301,542,469,30,9/21/2024
302,261,695,50,12/20/2024
303,221,1173,23,7/12/2024
304,752,925,33,2/26/2025
305,622,733,80,11/27/2024
306,994,173,27,8/9/2024
307,658,1459,8,11/25/2024
308,313,994,69,1/14/2025
309,140,361,49,8/16/2024
310,109,1497,17,1/18/2025
311,189,301,70,4/1/2025
312,229,917,58,12/2/2024
313,48,350,28,2/15/2025
314,366,919,45,11/15/2024
315,700,111,36,9/22/2024
316,744,340,64,4/23/2025
317,542,597,23,1/9/2025
318,95,1180,64,12/24/2024
319,178,649,98,10/30/2024
320,368,791,72,1/13/2025
321,500,425,35,12/1/2024
322,416,360,21,12/29/2024
323,269,708,71,6/11/2024
324,380,870,15,6/30/2024
325,284,395,95,1/29/2025
326,629,1303,33,1/5/2025
327,485,1356,10,12/27/2024
328,791,148,56,8/17/2024
329,739,1200,60,1/31/2025
330,250,890,69,5/2/2025
331,530,1184,86,4/3/2025
332,35,811,88,5/30/2024
333,10,573,88,8/13/2024
334,684,1275,40,9/11/2024
335,864,397,97,6/23/2024
336,924,1279,32,1/11/2025
337,338,248,11,6/16/2024
338,480,152,35,12/24/2024
339,69,401,79,12/5/2024
340,26,244,100,9/24/2024
341,860,1224,99,5/25/2024
342,640,1497,9,11/21/2024
343,929,1118,59,8/26/2024
344,71,1311,31,4/14/2025
345,853,434,23,3/6/2025
346,576,3,67,2/4/2025
347,923,1258,93,4/6/2025
348,580,1379,87,4/18/2025
349,642,105,45,2/10/2025
350,661,165,15,12/11/2024
351,524,979,27,10/1/2024
352,155,1002,99,8/8/2024
353,92,1164,23,9/23/2024
354,80,1302,32,6/2/2024
355,601,1429,6,5/22/2024
356,669,1355,18,4/11/2025
357,119,1361,81,8/13/2024
358,88,385,72,5/13/2024
359,971,926,67,4/16/2025
360,383,433,18,11/30/2024
361,658,266,23,6/13/2024
362,949,491,64,3/22/2025
363,988,123,16,11/28/2024
364,247,500,64,5/11/2025
365,729,112,94,2/25/2025
366,27,626,7,9/9/2024
367,32,1086,83,8/14/2024
368,590,483,63,3/29/2025
369,153,351,32,4/8/2025
370,654,961,60,11/1/2024
371,267,207,13,2/18/2025
372,706,257,95,9/5/2024
373,701,832,22,8/25/2024
374,948,22,90,8/4/2024
375,501,747,28,5/13/2024
376,795,408,76,8/5/2024
377,449,1422,57,3/10/2025
378,294,1067,49,2/28/2025
379,657,840,14,8/22/2024
380,139,317,4,2/10/2025
381,378,1467,33,5/21/2024
382,751,1371,47,7/6/2024
383,64,1139,77,11/29/2024
384,455,828,83,5/11/2025
385,159,1149,78,11/22/2024
386,892,994,31,3/2/2025
387,761,1070,3,6/28/2024
388,941,1242,77,3/18/2025
389,342,1017,94,8/9/2024
390,821,1482,98,2/27/2025
391,411,170,87,12/6/2024
392,663,714,21,8/2/2024
393,423,729,8,8/18/2024
394,489,1168,45,3/30/2025
395,81,1294,40,3/15/2025
396,318,895,50,4/25/2025
397,411,1119,43,6/20/2024
398,94,475,13,7/19/2024
399,398,91,80,9/28/2024
400,272,61,18,4/3/2025
401,609,236,9,3/27/2025
402,624,1266,62,6/30/2024
403,63,1266,41,7/13/2024
404,95,155,52,4/7/2025
405,602,1269,85,2/23/2025
406,543,1468,54,11/16/2024
407,928,1396,28,6/14/2024
408,750,156,2,10/4/2024
409,210,811,40,3/1/2025
410,347,793,59,9/4/2024
411,686,322,72,5/16/2024
412,802,218,100,6/4/2024
413,985,1026,91,8/24/2024
414,726,353,96,12/26/2024
415,170,147,68,8/12/2024
416,737,718,51,5/13/2024
417,231,58,54,3/26/2025
418,523,1490,45,11/4/2024
419,950,824,12,8/29/2024
420,733,1105,2,10/11/2024
421,436,116,26,6/29/2024
422,874,732,75,11/5/2024
423,723,1317,4,3/7/2025
424,922,1480,10,10/3/2024
425,376,789,20,9/20/2024
426,911,91,20,9/22/2024
427,284,1350,55,10/22/2024
428,918,140,80,8/11/2024
429,7,978,5,5/27/2024
430,915,839,64,6/24/2024
431,29,265,12,1/21/2025
432,949,585,1,1/6/2025
433,426,148,78,10/11/2024
434,532,546,88,9/16/2024
435,675,1347,49,9/23/2024
436,646,1318,20,3/26/2025
437,585,908,60,6/23/2024
438,918,1241,79,7/14/2024
439,679,640,43,1/27/2025
440,253,587,16,5/2/2025
441,810,626,56,4/11/2025
442,362,1002,15,4/7/2025
443,28,207,97,1/17/2025
444,696,1495,99,9/13/2024
445,212,39,90,9/10/2024
446,770,546,78,9/28/2024
447,317,772,76,6/1/2024
448,411,580,48,1/16/2025
449,917,396,24,11/15/2024
450,84,1299,90,3/22/2025
451,57,237,34,11/29/2024
452,138,1291,31,2/2/2025
453,895,256,45,8/13/2024
454,405,822,43,5/15/2024
455,373,373,40,4/23/2025
456,303,1171,24,5/6/2025
457,884,1033,66,3/12/2025
458,41,915,57,10/25/2024
459,420,1082,19,10/11/2024
460,322,1011,83,5/28/2024
461,75,548,45,1/16/2025
462,487,854,60,8/24/2024
463,5,258,82,6/4/2024
464,766,158,18,9/29/2024
465,949,20,33,9/29/2024
466,681,599,29,7/24/2024
467,250,1238,37,6/3/2024
468,384,968,10,3/23/2025
469,894,1322,33,7/30/2024
470,177,1463,35,1/26/2025
471,120,1289,30,8/4/2024
472,766,989,66,3/12/2025
473,181,1036,69,7/30/2024
474,491,554,11,12/21/2024
475,185,1378,18,1/11/2025
476,652,1389,56,10/3/2024
477,430,722,58,5/16/2024
478,626,132,10,1/19/2025
479,958,1375,93,6/4/2024
480,3,210,70,10/19/2024
481,956,328,84,3/1/2025
482,206,631,7,8/16/2024
483,231,1380,13,12/20/2024
484,616,2,11,12/26/2024
485,548,1021,20,3/1/2025
486,643,248,35,12/5/2024
487,611,266,98,8/28/2024
488,563,1162,37,11/15/2024
489,323,1294,17,3/19/2025
490,72,171,52,3/8/2025
491,736,305,36,2/2/2025
492,149,508,4,10/8/2024
493,982,44,76,8/27/2024
494,292,722,55,3/18/2025
495,177,583,63,7/4/2024
496,142,847,31,1/14/2025
497,573,864,49,6/30/2024
498,412,133,33,12/10/2024
499,916,914,66,7/29/2024
500,736,1344,81,11/8/2024
501,429,25,8,11/3/2024
502,238,660,39,6/29/2024
503,501,1290,98,5/20/2024
504,616,1219,70,8/25/2024
505,206,1147,76,4/7/2025
506,172,946,34,10/19/2024
507,945,1460,37,1/21/2025
508,937,650,52,5/9/2025
509,686,1422,13,7/29/2024
510,987,741,72,4/1/2025
511,991,99,5,3/12/2025
512,262,1365,1,9/3/2024
513,928,434,76,9/30/2024
514,601,1370,2,10/13/2024
515,737,198,36,7/20/2024
516,481,1448,57,9/10/2024
517,490,492,74,3/21/2025
518,85,1251,54,8/7/2024
519,105,901,97,3/15/2025
520,421,148,12,7/11/2024
521,849,1282,81,12/26/2024
522,614,30,63,1/10/2025
523,412,580,40,6/20/2024
524,187,235,88,12/4/2024
525,623,1186,38,11/18/2024
526,130,1152,38,1/21/2025
527,506,580,32,9/24/2024
528,43,470,14,5/14/2024
529,444,211,55,6/24/2024
530,15,663,84,12/13/2024
531,113,1268,90,6/19/2024
532,364,223,65,2/17/2025
533,28,1021,51,1/17/2025
534,982,1074,92,6/12/2024
535,972,800,27,7/10/2024
536,772,1273,100,6/19/2024
537,841,968,18,9/26/2024
538,567,709,64,1/5/2025
539,550,377,91,7/3/2024
540,259,8,88,2/20/2025
541,532,1101,80,12/27/2024
542,422,1083,65,1/3/2025
543,390,1415,71,12/15/2024
544,774,515,57,2/5/2025
545,530,714,36,6/30/2024
546,671,989,39,6/23/2024
547,787,120,20,1/28/2025
548,597,494,44,5/1/2025
549,305,787,16,4/18/2025
550,730,1406,6,10/26/2024
551,706,1319,85,4/20/2025
552,784,765,90,6/16/2024
553,421,287,10,2/4/2025
554,235,1082,61,1/31/2025
555,94,87,10,3/20/2025
556,78,922,42,12/19/2024
557,82,1350,58,8/4/2024
558,258,872,7,12/12/2024
559,641,1055,13,4/17/2025
560,174,501,70,5/25/2024
561,788,373,28,12/17/2024
562,13,1228,43,2/12/2025
563,949,1164,44,4/24/2025
564,224,806,90,8/15/2024
565,512,670,69,7/22/2024
566,621,1392,17,1/25/2025
567,948,1042,87,10/21/2024
568,491,863,99,11/11/2024
569,583,1157,83,1/12/2025
570,808,937,70,9/25/2024
571,249,853,13,4/12/2025
572,888,1109,50,10/2/2024
573,790,49,33,7/19/2024
574,234,465,38,3/2/2025
575,821,1392,77,7/13/2024
576,917,1115,48,12/29/2024
577,451,33,63,2/9/2025
578,533,917,49,7/28/2024
579,458,345,78,12/19/2024
580,726,43,38,8/13/2024
581,838,357,36,5/3/2025
582,13,529,68,4/21/2025
583,331,482,64,9/14/2024
584,148,39,68,4/16/2025
585,194,945,18,7/5/2024
586,887,1165,57,1/25/2025
587,266,732,8,9/29/2024
588,843,435,7,12/1/2024
589,782,84,36,6/13/2024
590,367,156,74,11/17/2024
591,936,611,16,10/12/2024
592,398,72,31,2/26/2025
593,508,1162,15,4/16/2025
594,761,1062,10,11/27/2024
595,407,140,37,9/29/2024
596,762,259,16,4/4/2025
597,440,648,10,4/11/2025
598,276,164,1,8/9/2024
599,255,1005,62,3/17/2025
600,897,1132,27,1/16/2025
601,259,783,86,8/30/2024
602,380,101,22,12/25/2024
603,946,1410,29,3/12/2025
604,270,509,9,6/14/2024
605,467,859,98,5/15/2024
606,941,1292,77,5/12/2024
607,812,1171,95,12/6/2024
608,695,1447,36,8/27/2024
609,812,440,26,2/24/2025
610,823,452,97,3/28/2025
611,367,125,87,9/2/2024
612,122,1142,95,8/13/2024
613,938,787,86,12/28/2024
614,692,963,36,11/6/2024
615,594,1177,93,3/26/2025
616,776,1322,28,6/18/2024
617,62,457,18,11/27/2024
618,302,907,49,9/10/2024
619,853,560,30,7/22/2024
620,961,11,87,11/26/2024
621,364,129,23,3/8/2025
622,887,328,17,9/28/2024
623,550,164,25,9/20/2024
624,706,502,91,6/24/2024
625,899,1063,48,5/4/2025
626,154,575,46,1/30/2025
627,740,106,70,7/3/2024
628,960,566,32,2/21/2025
629,392,375,90,2/2/2025
630,182,282,80,11/4/2024
631,870,1434,23,12/6/2024
632,830,637,1,12/7/2024
633,525,1410,28,4/2/2025
634,466,1049,16,6/29/2024
635,115,504,53,7/3/2024
636,704,790,58,3/3/2025
637,757,102,32,1/7/2025
638,356,121,37,11/25/2024
639,903,1489,60,5/18/2024
640,594,758,94,10/28/2024
641,373,1480,94,7/27/2024
642,201,985,51,5/18/2024
643,364,759,83,3/2/2025
644,627,1291,29,9/24/2024
645,990,1058,26,10/28/2024
646,594,63,76,11/7/2024
647,562,664,87,6/3/2024
648,188,95,70,5/6/2025
649,197,410,28,11/15/2024
650,786,1358,46,10/17/2024
651,42,1289,18,1/31/2025
652,255,1489,74,10/26/2024
653,88,1268,58,4/3/2025
654,243,423,66,8/26/2024
655,133,696,19,10/19/2024
656,476,1257,73,3/2/2025
657,977,1017,31,3/3/2025
658,922,88,85,8/24/2024
659,437,929,90,7/28/2024
660,671,2,42,1/1/2025
661,540,1390,51,12/10/2024
662,6,710,5,10/4/2024
663,49,490,2,4/15/2025
664,170,134,97,10/13/2024
665,128,241,95,12/12/2024
666,41,90,38,10/14/2024
667,250,47,45,11/7/2024
668,742,1291,8,5/11/2025
669,798,3,82,9/30/2024
670,291,933,18,3/17/2025
671,760,1071,36,3/9/2025
672,566,635,16,1/30/2025
673,367,349,31,10/13/2024
674,20,876,70,5/28/2024
675,723,346,81,12/20/2024
676,854,431,51,4/2/2025
677,942,1354,39,2/13/2025
678,675,1332,40,10/8/2024
679,364,1344,38,3/16/2025
680,67,953,18,8/14/2024
681,846,149,33,6/28/2024
682,382,456,89,2/24/2025
683,806,172,35,11/18/2024
684,211,255,53,10/22/2024
685,65,669,25,2/7/2025
686,879,1382,18,4/14/2025
687,731,1319,40,11/4/2024
688,535,1269,100,8/12/2024
689,168,824,3,7/30/2024
690,322,43,28,4/21/2025
691,257,1355,24,11/9/2024
692,827,536,73,12/14/2024
693,953,1110,77,11/8/2024
694,891,945,63,9/30/2024
695,530,1266,32,9/26/2024
696,36,1192,29,3/13/2025
697,423,1453,11,11/3/2024
698,367,59,2,5/30/2024
699,488,921,45,1/10/2025
700,69,1089,26,3/16/2025
701,586,348,23,7/15/2024
702,419,1236,75,5/7/2025
703,144,71,82,12/8/2024
704,872,329,83,11/24/2024
705,599,1071,69,8/26/2024
706,246,1455,44,2/5/2025
707,5,145,46,5/17/2024
708,884,924,53,1/5/2025
709,937,900,56,11/2/2024
710,937,136,61,6/11/2024
711,926,1351,6,2/23/2025
712,311,652,57,12/21/2024
713,619,590,79,2/15/2025
714,300,1043,29,10/19/2024
715,814,1364,73,12/11/2024
716,491,675,44,9/1/2024
717,877,784,38,12/21/2024
718,438,1404,28,2/5/2025
719,642,1411,44,12/14/2024
720,471,1417,86,6/4/2024
721,281,689,44,5/14/2024
722,106,1330,26,12/27/2024
723,411,251,96,2/11/2025
724,825,1110,34,10/20/2024
725,798,191,17,9/3/2024
726,427,542,41,12/6/2024
727,350,998,25,12/21/2024
728,801,1360,14,5/17/2024
729,775,1063,67,11/21/2024
730,569,13,42,12/29/2024
731,878,798,50,11/5/2024
732,410,573,35,8/8/2024
733,809,499,71,12/2/2024
734,922,787,81,8/21/2024
735,443,1426,55,4/10/2025
736,313,1486,7,3/18/2025
737,512,89,96,4/12/2025
738,500,452,21,4/27/2025
739,518,66,74,11/4/2024
740,370,1210,62,6/1/2024
741,196,785,99,1/24/2025
742,650,650,10,9/28/2024
743,627,1055,3,1/9/2025
744,4,569,21,8/13/2024
745,277,417,60,9/27/2024
746,915,756,50,6/2/2024
747,766,1245,48,2/18/2025
748,990,774,43,6/20/2024
749,5,661,29,9/10/2024
750,993,894,49,8/12/2024
751,914,81,6,6/13/2024
752,992,546,68,1/18/2025
753,102,267,76,9/30/2024
754,965,814,62,12/7/2024
755,221,374,30,2/27/2025
756,426,1460,1,6/2/2024
757,569,379,88,4/19/2025
758,994,1468,11,2/27/2025
759,769,1002,35,3/16/2025
760,501,46,2,3/24/2025
761,304,920,82,1/28/2025
762,542,95,2,3/9/2025
763,690,855,95,3/23/2025
764,636,1459,24,4/14/2025
765,989,33,9,4/8/2025
766,913,91,90,9/17/2024
767,710,913,22,3/12/2025
768,573,1327,98,2/6/2025
769,509,1032,50,5/7/2025
770,37,1142,81,3/10/2025
771,823,1025,95,2/19/2025
772,557,1183,7,12/19/2024
773,857,130,81,12/6/2024
774,719,1480,39,9/22/2024
775,8,415,18,4/27/2025
776,269,459,38,7/28/2024
777,278,553,16,10/18/2024
778,611,1434,68,5/5/2025
779,757,111,77,6/8/2024
780,993,1048,72,3/10/2025
781,257,771,66,4/2/2025
782,509,460,90,7/10/2024
783,910,864,82,7/24/2024
784,939,1065,15,8/28/2024
785,283,1248,74,1/8/2025
786,517,618,17,11/3/2024
787,580,1034,33,4/4/2025
788,710,995,94,6/28/2024
789,226,276,20,8/4/2024
790,221,438,41,9/2/2024
791,389,1494,71,6/3/2024
792,675,298,28,2/4/2025
793,83,1061,41,5/15/2024
794,371,66,16,12/5/2024
795,565,317,94,7/18/2024
796,24,760,87,2/4/2025
797,831,829,53,11/16/2024
798,94,1331,86,1/23/2025
799,858,969,91,11/28/2024
800,655,1365,74,5/12/2024
801,458,726,5,2/16/2025
802,374,145,51,12/5/2024
803,285,138,25,7/9/2024
804,14,598,45,3/11/2025
805,380,1002,68,11/12/2024
806,734,1202,29,8/23/2024
807,219,1043,69,12/13/2024
808,338,834,83,9/10/2024
809,326,93,47,10/31/2024
810,938,559,49,4/1/2025
811,156,81,65,2/24/2025
812,944,112,57,9/7/2024
813,701,147,7,2/14/2025
814,532,565,98,10/4/2024
815,256,363,67,3/1/2025
816,345,1075,97,6/7/2024
817,937,1220,19,12/11/2024
818,131,551,47,11/3/2024
819,116,165,98,12/26/2024
820,851,242,20,3/14/2025
821,787,850,78,2/2/2025
822,774,1415,4,8/31/2024
823,53,124,64,7/20/2024
824,767,548,98,7/29/2024
825,876,1142,26,7/12/2024
826,675,69,82,11/17/2024
827,309,964,52,2/13/2025
828,173,399,54,3/31/2025
829,421,806,75,3/26/2025
830,446,707,81,12/4/2024
831,324,1000,1,7/18/2024
832,251,123,38,6/5/2024
833,764,559,96,12/2/2024
834,821,124,78,3/16/2025
835,267,275,84,10/23/2024
836,583,1275,9,11/12/2024
837,428,673,10,4/24/2025
838,845,1189,37,4/12/2025
839,554,593,13,6/19/2024
840,182,399,22,9/6/2024
841,882,1046,89,7/30/2024
842,90,619,80,10/9/2024
843,790,1478,43,6/21/2024
844,709,51,75,5/8/2025
845,331,103,64,9/8/2024
846,30,498,94,8/21/2024
847,360,820,62,1/9/2025
848,464,213,55,12/28/2024
849,578,1028,69,2/11/2025
850,382,1192,29,4/2/2025
851,311,1294,46,1/14/2025
852,517,1175,89,12/12/2024
853,549,1083,88,2/12/2025
854,514,219,36,6/18/2024
855,174,608,84,4/23/2025
856,585,1045,8,8/6/2024
857,627,196,60,9/6/2024
858,154,612,46,6/27/2024
859,519,141,77,3/21/2025
860,526,1068,55,8/18/2024
861,332,523,82,6/4/2024
862,154,1421,26,8/15/2024
863,336,1412,92,6/3/2024
864,110,1126,49,8/30/2024
865,216,122,52,4/29/2025
866,279,842,40,1/31/2025
867,537,996,28,1/20/2025
868,238,958,66,5/29/2024
869,600,1476,33,12/5/2024
870,451,1375,61,3/14/2025
871,89,1095,61,11/22/2024
872,416,798,47,7/9/2024
873,981,865,93,12/18/2024
874,388,710,34,9/13/2024
875,227,877,76,7/12/2024
876,513,1017,40,3/4/2025
877,732,368,92,1/11/2025
878,14,816,55,2/7/2025
879,58,1413,96,9/28/2024
880,455,1441,97,6/26/2024
881,312,834,43,7/31/2024
882,845,1291,73,10/20/2024
883,59,994,38,4/22/2025
884,577,543,34,7/22/2024
885,999,505,10,7/20/2024
886,535,225,39,1/13/2025
887,298,805,18,7/27/2024
888,467,1439,83,4/1/2025
889,238,1441,64,5/30/2024
890,469,1120,35,8/17/2024
891,779,1272,31,2/5/2025
892,668,1085,8,4/17/2025
893,188,581,80,6/10/2024
894,672,632,84,6/12/2024
895,167,666,99,4/17/2025
896,4,1093,65,7/29/2024
897,133,772,45,1/12/2025
898,900,1499,49,2/21/2025
899,153,1015,45,5/18/2024
900,879,1302,39,11/18/2024
901,128,501,30,6/11/2024
902,860,402,66,3/13/2025
903,788,91,71,12/15/2024
904,490,1428,69,9/5/2024
905,27,1136,76,11/7/2024
906,887,388,89,8/21/2024
907,705,689,28,3/22/2025
908,546,1315,45,7/2/2024
